License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17165,Strathmore House,3004 Bel Pre Rd,Silver Spring,20906,154241,-77.06127806,39.09098539,5/29/2019,,3,1,210,44,1,0.91,24,0.09,0,compliant,"(39.091, -77.0613)"
17157,Nob Hill Apartments,9120 Piney Branch Rd,Silver Spring,20903,146183,-76.98916514,39.0008628,4/4/2018,,3,1,396,99,1.67,1.48,19,0.03,0.05,compliant,"(39.0009, -76.9892)"
112472,Woodvale,13831 Castle Blvd,Silver Spring,20904,,-76.94411233,39.082255,,,3,0,375,,,,,,,TBD,"(39.0823, -76.9441)"
94100,The Henri,11870 Grand Park Ave,Rockville,20852,,-77.11736286,39.05037469,,,3,0,272,,,,,,,compliant,"(39.0504, -77.1174)"
112829,"STEWART LANE, 11550",11550 Stewart Ln,Silver Spring,20904,,0,0,,,1,0,591,,,,,,,TBD,"(0.0, 0.0)"
17199,Holly Hall,10100 New Hampshire Ave,Silver Spring,20903,154221,-76.97674977,39.02046675,5/14/2019,,3,1,96,24,0.62,0.77,15,0.04,0,compliant,"(39.0205, -76.9767)"
115234,"Silver Spring Avenue, 626",626 Silver Spring Ave,Silver Spring,20910,,-77.01510414,38.99173756,,,2,0,4,,,,,,,TBD,"(38.9917, -77.0151)"
115586,MHP Hillbrooke Towers LLC,515 Thayer Ave,Silver Spring,20910,,-77.01347203,38.99396178,,,2,0,55,,,,,,,TBD,"(38.994, -77.0135)"
17372,Village Square Wheaton,12011 Veirs Mill Rd,Silver Spring,20906,152882,-77.07594576,39.05371152,3/19/2019,,2,1,162,40,1.8,1.82,7,0.05,0,at-risk,"(39.0537, -77.0759)"
116079,Valor Apartments,3411 Gateshead Manor Way,Silver Spring,20904,,-76.936297,39.0785039,,,3,0,261,,,,,,,TBD,"(39.0785, -76.9363)"
117113,"Garland Avenue, 8002",8002 Garland Ave,Takoma Park,20912,,-76.99898672,38.9896765,,,1,0,3,,,,,,,TBD,"(38.9897, -76.999)"
17605,"Bonifant Street, 943",943 Bonifant St,Silver Spring,20910,143628,-77.02560013,38.9939982,9/22/2017,,1,0,3,3,3.66,1.09,1,0,0.33,troubled,"(38.994, -77.0256)"
98966,The Montgomery,6425 Rock Forest Dr,Bethesda,20817,149292,-77.12808643,39.02988854,10/4/2018,,3,1,386,94,0.35,0.8,60,0,0.01,compliant,"(39.0299, -77.1281)"
17002,"Nolte Avenue, 8212",8212 Nolte Ave,Silver Spring,20910,154222,-77.01353875,38.99323142,4/17/2019,,2,1,2,3,1,2.33,0,0,0,at-risk,"(38.9932, -77.0135)"
17169,Battery Lane Apartments,4887 Battery Ln,Bethesda,20814,147561,-77.09888586,38.9925727,6/21/2018,,2,1,86,22,1.18,1.78,6,0,0.04,at-risk,"(38.9926, -77.0989)"
17349,"Quebec Terrace, 1033-1045",1033 Quebec Ter,Silver Spring,20903,137996,-76.98641055,39.00040869,12/6/2016,,1,0,28,28,6.64,1.85,0,0.21,0.28,troubled,"(39.0004, -76.9864)"
17280,Sligo Terrace Apartments,8800 Manchester Rd,Silver Spring,20901,154279,-77.01026067,39.0003651,4/12/2019,,2,1,54,54,2.09,1.27,11,0.07,0.01,at-risk,"(39.0004, -77.0103)"
28784,"Grand, The",5801 Nicholson Ln,Rockville,20852,154496,-77.11391794,39.04552334,5/8/2019,,3,1,552,133,0.58,0.69,89,0,0,compliant,"(39.0455, -77.1139)"
96500,Towne Crest Apartments,17500 Towne Crest Dr,Gaithersburg,20877,154272,-77.17452744,39.14573888,4/17/2019,,3,1,107,25,0.16,0.24,21,0,0,compliant,"(39.1457, -77.1745)"
116707,The Morgan,12000 Chase Crossing Cir,Rockville,20852,,-77.12021401,39.05456657,,,2,0,127,,,,,,,TBD,"(39.0546, -77.1202)"
112729,James welu,811 Thayer Ave,Silver Spring,20910,,-77.02304202,38.99336172,,,1,0,3,,,,,,,TBD,"(38.9934, -77.023)"
88140,Mallory Square,15251 Siesta Key Way,Rockville,20850,154461,-77.194325,39.10573382,5/1/2019,,3,1,365,82,0.36,0.38,65,0,0,compliant,"(39.1057, -77.1943)"
115402,"Silver Spring Avenue, 616",616 Silver Spring Ave,Silver Spring,20910,,-77.01387628,38.99183934,,,1,0,4,,,,,,,TBD,"(38.9918, -77.0139)"
112955,Solaire 8250,8250 Georgia Ave,Silver Spring,20904,,-76.94449538,39.08164815,,,3,0,338,,,,,,,TBD,"(39.0816, -76.9445)"
117270,The Parc at Woodlake,14001 Castle Blvd,Silver Spring,20904,,-76.94049802,39.08467226,,,1,0,534,,,,,,,TBD,"(39.0847, -76.9405)"
82909,Solaire Wheaton,10914 Georgia Ave,Silver Spring,20902,154214,-77.05020194,39.03522778,4/16/2019,,3,1,232,53,0.2,0.44,43,0,0,compliant,"(39.0352, -77.0502)"
112415,Manor at Cloppers Mill,18003 Mateny Rd,Germantown,20874,,-77.27119572,39.14681538,,,3,0,102,,,,,,,TBD,"(39.1468, -77.2712)"
18135,"White Ground Road, 17700",17700 White Ground Rd,Boyds,20841,145357,-77.34751393,39.15135843,12/26/2017,,1,0,2,2,4,2.12,0,0,0,troubled,"(39.1514, -77.3475)"
17470,"Flower Avenue, 8605 & 8607",8605 Flower Ave,Takoma Park,20912,138936,-77.0028817,38.99686747,3/15/2017,,1,0,6,7,14.85,1.7,0,0,0.42,troubled,"(38.9969, -77.0029)"
17313,"Flower Avenue, 8207",8207 Flower Ave,Takoma Park,20912,139547,-77.00175912,38.9917358,3/22/2017,,2,0,5,5,0.8,1.6,1,0,0,at-risk,"(38.9917, -77.0018)"
17522,"Houston Avenue, 905",905 Houston Ave,Takoma Park,20912,139606,-76.99976779,38.99124431,3/23/2017,,2,0,2,2,2.5,1.2,0,0,0,at-risk,"(38.9912, -76.9998)"
116700,Heritage at Waters Landing,20700 Crystal Hill Cir,Germantown,20874,,-77.27640881,39.1980251,,,2,0,300,,,,,,,TBD,"(39.198, -77.2764)"
17362,Park Montgomery,8860 Piney Branch Rd,Silver Spring,20903,154212,-76.99167459,39.00048055,5/15/2019,,2,1,143,36,2.19,1.39,10,0.02,0.02,at-risk,"(39.0005, -76.9917)"
116875,Landmark at Glenmont Station,2301 Glenallan Ave,Silver Spring,20906,,-77.04406129,39.06211587,,,2,0,625,,,,,,,TBD,"(39.0621, -77.0441)"
18218,"Garland Avenue, 8002",8002 Garland Ave,Takoma Park,20912,151015,-76.99898672,38.9896765,12/7/2018,,1,1,3,5,17.8,2.42,0,0.2,0,troubled,"(38.9897, -76.999)"
18211,MHP Hillbrooke Towers LLC,515 Thayer Ave,Silver Spring,20910,144031,-77.01347203,38.99396178,10/24/2017,,2,1,55,13,2.61,1.14,2,0,0,at-risk,"(38.994, -77.0135)"
116467,Earle Manor Apartments,10800 Georgia Ave,Silver Spring,20902,,-77.04935158,39.03240287,,,1,0,140,,,,,,,TBD,"(39.0324, -77.0494)"
116465,POINTE VIEW AT ASPEN HILL,3136 BEL PRE RD,Silver Spring,20906,,-77.04935158,39.03240287,,,1,0,120,,,,,,,TBD,"(39.0324, -77.0494)"
17363,Pembridge Square,2315 Blueridge Ave,Silver Spring,20902,154045,-77.04828447,39.04334925,4/2/2019,,2,1,133,129,2.2,1.44,29,0.09,0,at-risk,"(39.0433, -77.0483)"
17423,Amherst Square,11500 Amherst Ave,Silver Spring,20902,152883,-77.04791884,39.04340687,4/2/2019,,1,1,125,123,3.56,1.57,12,0.13,0.01,troubled,"(39.0434, -77.0479)"
